id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,price_closed
35,3,3,5.5,2633,9794,513141,3,2986 Webster Hill Road,Barnard,Attached,1989,1.5,Yes,No,,,No,10,Yes,No,,,No,,Walkout,Yes,330000
36,4,3,0.58,2101,5709,295900,1,6 Linden Hill,Woodstock,Attached,1957,1,Unknown,No,,,,7,Yes,No,,,No,,Walkout,Yes,338000
37,3,2,11.46,1862,7627,372900,2,3004 Stage Road,Barnard,Attached,1984,2,Yes,No,,,No,7,Yes,No,,No,Yes,,Walk-up,Yes,385000
38,3,4,9.02,4320,12542,657080,2,1523 Royalton Turnpike,Barnard,Attached,2005,2,Yes,No,,,,9,Yes,No,,,Unknown,,,No,670000
39,5,4,2.84,3284,8792,384300,2,2605 Cox District Rd,Woodstock,Attached,1978,1.5,Unknown,No,,,,12,Yes,No,Yes,,Yes,,,Yes,372500
40,6,5,13.7,3100,23572,908270,4,501 Galaxy Hill Road,Pomfret,Detached,1850,1.5,Yes,No,,,No,9,Yes,No,,Yes,No,,Interior,Yes,1562500
41,4,3,55.57,2898,9339,489310,1,7408 Route 12,Barnard,Detached,1850,1.5,Unknown,No,Pond,,No,11,Yes,Unknown,,No,No,,Walk-up,Yes,305000
42,4,4,6.71,4603,19463,930900,2,915 Carlton Hill Road,Woodstock,Attached,2008,3,Yes,No,,,No,12,Yes,No,,,No,,Walkout,Yes,924500
43,4,5,0.89,4000,14691,,2,4 Pine St.,Woodstock,Attached,2007,2,Yes,No,,,No,11,Yes,No,,No,No,,Walkout,Yes,737500
44,3,2,0.2,2136,9567,530000,0,77 Central Street,Woodstock,,1826,1.5,Unknown,No,,,No,10,No,Unknown,,No,No,,Walk-up,Yes,490000
45,3,4,4.2,4312,9367,485500,3,400 Hall Circle,Woodstock,Attached,2001,2,No,No,,,No,12,Yes,No,,,Unknown,,Interior,Yes,445500
46,3,2,3.07,2087,6751,322900,1,2416 Cox District Road,Woodstock,Carport,1972,2,No,No,,,No,9,Yes,No,,No,No,,Interior,Yes,312000
47,3,2,5,1232,6237,,2,2111 Austin Road,Woodstock,Attached,1987,1,Yes,No,,,,6,Yes,No,,No,No,,Walkout,Yes,320000
48,3,3,5.06,3531,10372,537600,0,1021 Randall Road,Woodstock,,2000,1.5,Yes,No,Pond,,No,10,No,No,,No,Unknown,,Interior,Yes,425000
49,4,3,5.52,2404,9446,535500,0,206 Meoki Way,Woodstock,,2011,2,Yes,No,,,No,10,No,No,,,Yes,,Walkout,Yes,600000
50,4,3,0.27,2610,7254,333500,2,10 Maple Street,Woodstock,Attached,1900,2.5,Yes,No,,,No,9,Yes,Yes,,No,No,,Walk-up,Yes,425000
51,4,1,47.5,1896,12114,627900,0,63 Brooks Bungalow Road,Woodstock,,1830,2,Yes,No,,,No,9,No,No,Yes,,Yes,,Interior,Yes,500000
52,4,4,249.5,4740, -   ,3886250,3,1710 Wild Apple Road,Pomfret,Attached,1992,2.5,Yes,No,,,No,12,Yes,No,Yes,Yes,Yes,,Interior,Yes,3400000
53,3,3,2.8,3046,10434,540800,0,204 Willow Brook Road,Woodstock,,1995,2,Unknown,No,,,,9,No,No,,No,Unknown,,Interior,Yes,435000
54,4,3,0.38,2928,8137,462500,0,5 Stanton Street,Woodstock,,1840,2,Unknown,No,,,No,11,No,No,,No,No,,Interior,Yes,409500
55,3,3,10.43,2848,12301,637600,3,1763 Cox District Road,Woodstock,Detached,2007,1.5,Yes,No,,,No,9,Yes,No,,No,No,,,No,922800
56,2,2,5.39,1854,7955,412300,0,314 Meadow Way,Woodstock,,2007,2,Yes,No,,,,6,No,No,Yes,,Yes,,,No,470000
57,4,3,20.69,4309,12317,676550,2,738 Stage Rd,Pomfret,Attached,1780,1.5,Yes,No,Brook,,No,9,Yes,Yes,,,No,,Interior,Yes,520309
58,5,2,0,2344,7243,375400,0,12 Maple Street,Woodstock,,1900,2,Yes,No,,,,8,No,Yes,,No,No,,Walk-up,Yes,432000
59,4,5,2.61,4050,16923,,2,798 Thomas Hill Rd,Woodstock,Attached,1872,1.5,No,No,,,No,8,Yes,No,,No,No,,,Yes,750000
60,4,3,5,3140,11543,598300,2,273 Tilly Way,Woodstock,Attached,1985,2.5,Yes,No,,,No,11,Yes,No,,No,Yes,,Interior,Yes,459000
61,3,3,2.3,1807,12614,660890,0,134 North Road,Barnard,,1981,2,Unknown,Unknown,Lake,455,,6,No,Unknown,,,No,,Walkout,Yes,700000
62,4,3,0.39,2734,8080,418800,2,27 Linden Hill,Woodstock,Detached,1870,1.5,Yes,No,,,,8,Yes,No,,,Yes,,Interior,Yes,410000
63,3,2,2.5,2960,7643,373690,2,117 South Perry Road,Barnard,Attached,1850,2,Yes,No,,,No,7,Yes,No,,,Unknown,,Interior,Yes,315000
64,3,3,0.13,2184,5448,282400,0,10 Lincoln St,Woodstock,,1870,1.5,No,No,,,No,7,No,No,,,No,,Interior,Yes,320000
65,3,2,0.55,2200,7259,347200,2,14 College Hill Rd,Woodstock,Detached,1910,1.5,No,No,,,,8,Yes,No,,,No,,Interior,Yes,439000
66,3,2,4.65,2100, -   ,393470,2,659 Barber Hill,Pomfret,Detached,1850,1.5,Yes,No,,,No,7,Yes,No,Yes,,Unknown,,Interior,Yes,300000
67,3,4,0.86,2866,9062,481300,2,27 Gardner Way,Woodstock,Attached,1991,1.5,Yes,No,,,No,9,Yes,No,,No,No,,Walkout,Yes,375000
68,3,2,0.18,2164,7542,390900,2,7 Highland Ave,Woodstock,Attached,2003,1.5,Yes,No,,,No,7,Yes,No,,,No,,Interior,Yes,375000
69,1,1,76.61,1118,10137,525400,2,345 Gabert Road,Woodstock,Attached,1850,1.5,Yes,No,Brook,,No,6,Yes,No,,Yes,No,,Interior,Yes,515000
70,4,4,65,5904,29997,1647620,2,524 Old Farm Road,Pomfret,Attached,2008,2.5,Yes,No,,,,11,Yes,No,,No,Yes,,Interior,Yes,1725000
71,4,3,0.23,2560,9022,431500,0,4 Church St,Woodstock,,1823,1.5,No,No,,,No,10,No,No,,,No,,Interior,Yes,332500
72,4,2,38,2680,30855,1694780,0,263 Barber Hill Road,Pomfret,,1989,2.5,Yes,No,,,No,8,No,No,,Yes,No,,Walkout,Yes,1041900
73,3,3,11,1912,9211,462760,2,635 Bowman Road,Barnard,Detached,1973,1.75,No,No,,,No,6,Yes,No,,No,No,,Interior,Yes,485000
74,2,3,1.09,1336,5844,226200,0,11B College Hill Rd.,Woodstock,,2003,2,Yes,No,River,271,,6,No,No,,,No,,,No,385000
75,4,2,14.23,2334,11927,655090,0,1407 Joe Ranger Road,Pomfret,,2005,2,Yes,No,,,No,9,No,Unknown,,,No,,Interior,Yes,485000
76,3,2,5.17,1426,7882,433400,0,6 Border Lane,Woodstock,,1960,1,Unknown,No,,,,5,No,No,,No,Yes,,Walk-up,Yes,350000
77,4,2,0.09,2600,9683,669900,0,17 The Green,Woodstock,,1851,2.5,Unknown,No,,,No,9,No,No,,,No,,Walkout,Yes,557500
78,3,2,4.3,1764,4671,312450,2,19 Garnet Hill,Barnard,Attached,1975,2,Yes,No,,,,8,Yes,No,,,No,,,Yes,345000
79,4,4,161,5268,25418,1215700,2,205 Britton Lane,Woodstock,Detached,1958,2.5,No,No,Pond,,,9,Yes,No,,Yes,No,,Interior,Yes,1150000
80,3,4,2.23,3925,16054,1918800,2,186 Rose Hill,Woodstock,Detached,1910,3,Yes,No,Pond,,No,9,Yes,No,,No,No,,Walkout,Yes,434000
81,3,4,5.1,2610,8271,899,2,899 Noah Wood Road,Woodstock,Attached,1994,2,Yes,No,,,No,9,Yes,No,,,Unknown,,Walkout,Yes,392000
82,5,5,172.62,5990,37803,3271300,6,228 Wyman Lane,Woodstock,Detached,1782,2,No,No,Pond,,No,12,Yes,No,,Yes,No,,Walk-up,Yes,3050000
83,2,2,6.69,2200,12976,672600,1,809 Bryant Road,Woodstock,Attached,1826,2,Yes,No,,,No,7,Yes,No,,,Yes,,Interior,Yes,345000
84,3,3,0.73,1350,4480,232200,0,73 South Street Street,Woodstock,,1900,2,Unknown,No,,,No,7,No,No,,,No,,Walkout,Yes,306000
85,3,4,26.26,3401,22119,1057900,3,1018 Deer Brook Way,Woodstock,Attached,2009,2,Yes,No,Pond,,No,10,Yes,No,,,Yes,,Interior,Yes,1125000
86,2,4,0.71,3735,9423,355600,1,4903 South Rd,Woodstock,Under,1980,2.5,Yes,No,Brook,170,,7,Yes,Yes,,,No,,Walkout,Yes,340000
87,6,5,6.1,4000,21510,1114900,2,5142 SOUTH ROAD,Woodstock,Under,1796,2,Yes,No,,,No,13,Yes,No,,No,Unknown,,Interior,Yes,875000
88,4,3,10.1,2403,9814,539050,2,1669 High Pastures Road,Pomfret,Attached,1840,1.5,Yes,No,,,No,7,Yes,No,,,No,,Interior,Yes,502500
89,4,4,42.15,5200,36669,1991300,2,1316 Peterkin Hill Road,Woodstock,Attached,2010,2,Yes,No,,,No,13,Yes,No,,Yes,No,,Walkout,Yes,3000000
90,4,5,7.03,3202,13177,683000,2,628 Deerbrook Way,Woodstock,Attached,2005,2,Yes,No,,,,9,Yes,No,,No,Yes,,Interior,Yes,710000
91,4,3,1.01,2836,10339,494500,2,132 Shurtleff Lane,Woodstock,Attached,2003,2,Yes,No,,,,8,Yes,No,,,Unknown,,Interior,Yes,500000
92,3,4,2.37,3200,14297,696500,2,7802 Sawyer,Woodstock,Under,2010,2,Unknown,No,,,No,9,Yes,No,Yes,No,No,,Walkout,Yes,500000
93,3,2,0.68,1900,7353,351700,2,1 Highland Ave Extension,Woodstock,Detached,1960,1,Yes,No,,,No,8,Yes,No,,,Yes,,Interior,Yes,445000
94,5,3,5.02,2868,12249,634900,2,938 South Road,Woodstock,Detached,1830,1.5,Yes,No,Pond,,No,11,Yes,No,,No,Unknown,,Interior,Yes,635000
95,3,3,6.02,3370,11581,553900,1,2494 Church Hill Rd,Woodstock,Under,1865,1.5,Yes,No,,,No,10,Yes,No,,,No,,Interior,Yes,460000
96,3,2,82.3,2688,30155,1563000,2,1001 Atwood Lane,Woodstock,Under,2002,3,Yes,No,,,,6,Yes,No,,Yes,No,,,No,2825000
97,3,1,64.7,2460,8776,553520,1,10024 VT. RT.12,Barnard,Attached,1800,1.5,No,No,,,,6,Yes,Yes,Yes,No,No,,,Yes,332500
98,3,2,4.3,1764,5964,312450,2,19 Garnet Hill,Barnard,Attached,1975,2,Yes,No,,,No,8,Yes,No,,,No,,Interior,Yes,385000
99,3,2,0.24,1782,5748,274900,0,13 High Street,Woodstock,,1890,2,No,No,Brook,,No,7,No,Yes,Yes,No,No,,Walkout,Yes,357500
100,4,4,1.06,3184,11391,458600,2,4 Highland Avenue Extension,Woodstock,Attached,1986,4+,Yes,No,,,,11,Yes,No,,,No,,Walkout,No,459500
101,3,3,0.04,1844,7139,339000,0,32 The Green,Woodstock,,1803,2,No,No,,,No,9,No,No,,No,No,,Interior,Yes,460000
102,4,2,0.2,2048,6199,365900,1,29 HIGH STREET,Woodstock,Under,1880,3,No,No,,,No,8,Yes,No,,No,No,,Interior,Yes,345000
103,3,3,7.2,2167,10602,507100,2,136 English Mills Way,Woodstock,Attached,1997,1.5,Yes,No,Brook,,No,7,Yes,No,Yes,No,Yes,,Interior,Yes,370000
104,4,3,20.02,3128,15883,,22,1321 Old River Road,Woodstock,Attached,1971,1,Yes,No,,,No,10,Yes,No,,,No,,Walkout,Yes,1100000
105,10,9,2.43,8600,43180,,6,000 Mountain Ave,Woodstock,Detached,1851,3,Yes,No,,,,20,Yes,No,,,No,,Interior,Yes,2500000
106,4,3,0.67,3084,10727,506800,2,14 Prospect Street,Woodstock,Detached,1880,1.5,Unknown,No,,,No,11,Yes,No,,No,Unknown,,Walkout,Yes,585000
107,6,6,32.01,5412,27757,1491800,3,587 Old River Rd,Woodstock,Attached,1850,2.5,Yes,No,River,"1,228",No,19,Yes,No,,,Yes,,Interior,Yes,4100000
108,2,2,19.67,936,6892,354150,1,80 VT Route 12,Pomfret,Under,2005,2,Unknown,No,,,No,5,Yes,Unknown,Yes,No,No,,Interior,Yes,315000
109,3,3,0.2,2150,6741,349400,1,14 High Street,Woodstock,Attached,1790,1.5,Yes,No,,,No,6,Yes,No,,No,No,,Walkout,Yes,340000
110,5,3,55,3686,21894,1250200,2,4070 Pomfret Road,Pomfret,Detached,1830,2,Yes,No,,,No,11,Yes,No,,,Yes,,Interior,Yes,471000
111,4,5,11.6,3793,17275,895400,2,441 Austin Road,Woodstock,Attached,2007,2,Yes,No,,,,10,Yes,No,,No,No,,Interior,Yes,925000
112,3,4,4.9,4200,22730,846400,2,70 Golf Ave,Woodstock,Attached,1993,1,Yes,No,Pond,,,9,Yes,No,,,Yes,,Walkout,Yes,850000
113,5,2,0.43,2444,12906,593400,4,19 River Street,Woodstock,Detached,1900,2,No,No,,,No,10,Yes,No,,,No,,Interior,Yes,610000
114,3,3,3.73,2066,8886,425000,2,25 French's Road,Woodstock,Attached,1969,1,Yes,No,,,No,7,Yes,No,,,Yes,,Walkout,Yes,435000
115,3,3,1.78,2260,8428,403100,2,100 Laughlin,Woodstock,Detached,1970,1.5,Unknown,No,,,No,7,Yes,No,,,No,,Interior,Yes,381000
116,3,3,0.83,1813,7781,393300,2,25.5 Prospect Street,Woodstock,Detached,1989,2,Unknown,No,,,,8,Yes,No,,No,No,,Walkout,Yes,407000
117,6,6,0.72,5131,24295,1228000,1,29 The Green,Woodstock,Attached,1810,3,No,No,,100,,12,Yes,Unknown,Yes,No,Yes,,,Yes,2000000
118,3,3,0.18,2500,11288,539900,1,11 Mountain Ave,Woodstock,Attached,1851,2,Yes,No,,,No,8,Yes,No,,,No,,Interior,Yes,1000000
119,4,4,0.43,3090,7627,441200,0,27 Slayton Terrace,Woodstock,,1890,2.5,No,No,,,No,9,No,No,,,No,,Interior,Yes,360000
120,3,3,51.6,3554,28272,1353000,2,1509 Old River Road,Woodstock,Attached,1920,1.75,Yes,No,,,No,14,Yes,Unknown,,,No,,Interior,Yes,1820000
121,4,3,14.1,2752,8389,523800,0,334 Sugar Hill Rd,Woodstock,,1980,1,No,No,,,,9,No,No,,,Yes,,Walkout,No,530000
122,4,4,1.34,4512,30960,1140000,2,37 Elm St,Woodstock,Attached,1801,2.5,Unknown,No,,,No,11,Yes,No,,,No,,Interior,Yes,1825000
123,4,5,0.52,5062,26447,1180000,6,16 Pleasant Street,Woodstock,Attached,1830,3,Yes,No,Brook,135,No,13,Yes,No,,No,No,,Walkout,Yes,1750000
124,3,3,10,3000,4748,272560,2,467 Caper St,Pomfret,Attached,1968,2,Yes,No,,,No,9,Yes,No,,,No,,Walkout,Yes,365000
125,4,3,0.35,2552,13211,644400,2,10 High Street,Woodstock,Detached,1870,3,Unknown,No,,,,12,Yes,No,,,Unknown,,,,550000
126,3,4,5.59,1920,11552,552500,2,3057 Church Hill Road,Woodstock,Detached,1997,2,Yes,No,,,,7,Yes,No,,No,No,,Interior,Yes,665000
127,3,3,1.3,2262,8441,403700,2,2 Highland Avenue Extension,Woodstock,Attached,1987,3,Yes,No,,,No,7,Yes,No,,No,No,,,No,370000
128,3,3,,2164,,112500,,230 Labounty,Pomfret,Attached,1975,2,Unknown,No,,,,7,Yes,No,,,No,,,,330000
129,4,4,43.4,5000,21395,1175150,2,895 Clay Rd,Pomfret,Attached,1980,3,Yes,No,,,No,12,Yes,Unknown,,,Yes,,Interior,Yes,650000
130,3,2,68.92,1544,16862,874000,0,115 Eastman Road,Woodstock,,1998,1.5,Yes,No,Brook,,No,6,No,No,,Yes,No,,Interior,Yes,1150000
131,3,3,13.7,2935,11368,770200,2,2558 Hartland Hill Rd,Woodstock,Attached,2002,1.5,No,No,,,No,8,Yes,No,,,Yes,,Walkout,Yes,508500
132,2,1,2.32,1332,5453,284000,2,124 Cabot Road,Woodstock,Detached,1965,1,No,No,,,,8,Yes,No,Yes,No,No,,Walkout,Yes,320000
133,3,3,8.1,1872,6837,337900,0,24 Austin Road,Woodstock,,2005,2,Unknown,No,,,No,6,No,No,,No,No,,,No,310000
134,3,2,5.62,2256,6411,353600,1,108 Peterkin Hill Road,Woodstock,Detached,2001,1.5,Yes,No,Brook,600,,10,Yes,Unknown,,No,Unknown,,,Yes,305000
135,6,8,5.5,7783,15867,421700,0,2709 Woodstock Road,Woodstock,,1875,2,Yes,No,River,"1,047",No,11,No,Yes,Yes,No,Yes,,,Yes,415000
136,5,3,58.1,4080,18957,1041270,2,3862 Pomfret Road,Pomfret,Detached,1850,2,Yes,No,Pond,,No,10,Yes,No,,Yes,No,,Walk-up,Yes,750000
137,4,4,133.3,3800,23815,1367040,2,216 Galaxy Hill Rd,Pomfret,Attached,1986,2.5,Yes,No,,,No,10,Yes,No,,,Yes,,Interior,Yes,1200000
138,3,3,0.75,1765,6392,305700,1,25 Prospect Street,Woodstock,Attached,1820,1.5,No,No,,,,8,Yes,No,,,No,,Walkout,Yes,329000
139,5,4,88.8,5564, -   ,6575800,2,9501 Sincerbeaux,Woodstock,Detached,1805,2,Yes,No,Pond,,No,11,Yes,No,Yes,Yes,Yes,,Walkout,Yes,3000000
140,4,4,12,4163, -   ,770040,2,5685 Route 12,Barnard,Attached,2007,2,Yes,No,Brook,301,,11,Yes,No,,No,No,,Walkout,Yes,775000
141,5,5,53.9,6648,17519,917830,3,16 Midsomer Meadows Lane,Barnard,Attached,2008,2.5,Yes,No,Brook,,No,15,Yes,No,,No,No,,Interior,Yes,550000
142,4,5,6.4,4734,23339,1135100,2,1043 Noah Wood Road,Woodstock,Detached,1998,1.5,Yes,No,,,No,12,Yes,No,,,No,,Walkout,Yes,1090000
143,5,3,14.1,2962,11850,825200,2,3300 Hartland Hill Road,Woodstock,Attached,1996,2,Yes,No,,,No,9,Yes,No,,No,No,,Walk-up,Yes,610000
144,4,4,4.15,3564,17892,927400,2,15 Hathorn Hill Extension,Woodstock,Attached,2009,2,Unknown,No,,,No,12,Yes,Unknown,,Unknown,No,,Interior,Yes,1149000
145,5,3,6.2,3328,11797,566300,2,1522 Barnard Road,Woodstock,Attached,1850,2,Yes,No,,,No,10,Yes,Unknown,,No,Unknown,,Interior,Yes,590000
146,5,4,0.21,3469,13180,630400,0,4 Pleasant Street,Woodstock,,1850,1.5,Unknown,No,,,No,12,No,Unknown,,No,Unknown,,Interior,Yes,665000
147,7,8,4.69,4506,11442,574100,0,4548 West Woodstock Road,Woodstock,,1820,2,Yes,No,,,No,15,No,Unknown,,No,No,,Interior,Yes,375000
148,4,3,194.05,2230,10150,940800,2,651 Pomfret Rd,Woodstock,Attached,1993,1.5,Yes,No,Brook,,,7,Yes,Yes,,Yes,Yes,,,Yes,837500
149,4,3,0.2,3846,11722,575700,0,17 River Street,Woodstock,,1843,3,No,No,,,,10,No,No,,No,No,,,Yes,550000
150,4,4,54.6,2851,12803,740000,2,1231 North Road,Barnard,Attached,1981,2.5,Unknown,No,,,,8,Yes,No,,No,No,,Walkout,Yes,810000
151,3,3,1.05,2856,7208,441200,2,15 College Hill Rd,Woodstock,Attached,1971,1.5,Yes,No,River,176,No,10,Yes,No,,,No,,Interior,Yes,355000
152,4,2,0.3,2536,7703,368400,2,12 Cross,Woodstock,Detached,1903,2,Unknown,No,Brook,100,,9,Yes,No,,No,No,,Interior,Yes,415000
153,4,3,5.02,2922,11086,698800,3,115 Holt Way,Woodstock,Attached,2003,1.5,Yes,No,,,,6,Yes,No,,No,No,,Interior,Yes,570000
154,6,4,5.43,4700,11372,543900,1,100 Golf Ave,Woodstock,Carport,1957,2,Yes,No,,,No,13,Yes,No,,,Yes,,Interior,Yes,650000
155,3,3,5.49,2100,6615,316400,2,2590 South Road,Woodstock,Detached,1955,1.5,Unknown,No,,,No,6,Yes,No,,No,No,,Walk-up,Yes,335000
156,5,8,855,9500,64460,3341100,2,1152 Noah Wood Road,Woodstock,Attached,1996,2,Yes,No,Pond,,,15,Yes,No,,Yes,No,,,,3750000
157,5,4,1,3036,7875,682500,0,6 River Street,Woodstock,,1804,1.75,Yes,No,River,,No,10,No,Yes,,,No,,Walkout,Yes,525000
158,3,3,2.25,3581,14129,776070,2,2286 Pomfret Road,Pomfret,Attached,1946,1.75,No,No,Brook,,No,9,Yes,No,,No,No,,Walk-up,Yes,512500
159,3,3,0.83,1813,7781,393300,2,25.5 Prospect Street,Woodstock,Detached,1989,2,Unknown,No,,,,8,Yes,No,,No,No,,Walkout,Yes,407000
160,3,2,21.3,2129,8275,433520,0,790 RHODES HILL ROAD,Barnard,,1970,1.75,Yes,No,,,No,7,No,No,,,Yes,,Walkout,Yes,335000
161,4,5,10.24,5600,17851,917600,2,199 Meadow Way,Woodstock,Attached,2005,1.5,Yes,No,Pond,0,No,11,Yes,No,,,No,,,Yes,910000
162,3,2,47.9,1280,9314,,1,7315 Hartland Hill,Woodstock,Detached,1920,1.75,No,No,,,,7,Yes,No,,No,No,,,Yes,390000
163,3,2,0.1,1174,8292,434420,2,219 The Grove,Barnard,Detached,1920,2,No,Yes,Lake,165,,6,Yes,Unknown,,,No,,,No,470000
164,3,3,20.04,2492,7735,397600,0,1584 Fletcher Schoolhouse Road,Woodstock,,1991,1.5,Yes,No,,,No,10,No,No,,No,Unknown,,Walkout,Yes,421000
165,5,3,0.79,2568,8999,430400,2,7 Slayton Terrace,Woodstock,Detached,1830,1.5,Yes,No,,,No,12,Yes,No,,,No,,Interior,Yes,340000
166,3,3,2.77,2160,5396,279700,1,917 Carlton Hill Road,Woodstock,Under,1960,1,Unknown,No,,,No,7,Yes,Unknown,,No,No,,Walkout,Yes,317500
167,4,4,10.86,3960,17171,890000,3,739 Westerdale Rd,Woodstock,Attached,2003,1.5,Yes,No,Brook,,No,11,Yes,No,,,No,,Interior,Yes,835000
